Publication,Year,Type,Focus,URL
NAVMC 3500.12B Engineer & Utilities T&R Manual,2016 w/ Ch 1-2,NAVMC,Engineer & Utilities training standards,https://www.marines.mil/Portals/1/NAVMC%203500.12B%20W%20CH%201-2.pdf
NAVMC 3500.14F Aviation Training & Readiness Program Manual,2021,NAVMC,Aviation T&R Program (MAGTF Aviation),https://www.marines.mil/Portals/1/Publications/NAVMC%203500.14F%20%28SECURED%29.pdf
NAVMC 3500.35C Food Services T&R Manual,2017,NAVMC,Food service community training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.35C%20FOOD%20SERVICES%20T-R%20MANUAL.pdf
NAVMC 3500.84B Health Services Support T&R Manual,2020 w/ CH-2,NAVMC,Health Services Support (HSS/Medical) training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.84B%20w%20CH-2.pdf
NAVMC 3500.55C Reconnaissance T&R Manual,2020 w/ CH 1-4,NAVMC,Reconnaissance unit training standards,https://www.marines.mil/Portals/1/Publications/NAVMC%203500.55C%20w%20CH%201-4.pdf
NAVMC 3500.119 Tactical Air Operations Center T&R Manual,2018,NAVMC,Aviation Command & Control (TAOC) training standards,https://www.marines.mil/Portals/1/navmc%203500.119.pdf
